start_frame,end_frame,peak_frame,duration_s,peak_speed,peak_position_pct,accel_decel_ratio,decel_smoothness,endpoint_speed,overshoot,is_two_stage
2922,2931,2925,0.1667,1455.43,33.3,0.507,4782.696,425.16,,False
2952,2962,2957,0.1833,1151.02,50.0,0.981,4715.184,447.01,,False
2985,2998,2991,0.2333,3027.98,46.2,1.282,12202.291,319.58,,False
3017,3041,3023,0.4167,2505.76,25.0,0.751,8693.033,296.83,,False
3060,3069,3064,0.1667,875.71,44.4,0.899,2525.022,332.24,,False
3092,3104,3096,0.2167,3619.28,33.3,0.539,13414.686,331.84,,False
3130,3137,3133,0.1333,744.0,42.9,0.695,5080.901,416.08,,False
3156,3167,3160,0.2,2139.79,36.4,0.762,7693.681,362.49,,False
3184,3193,3189,0.1667,1424.96,55.6,1.423,5273.677,384.26,,False
3214,3226,3219,0.2167,1286.09,41.7,0.924,4102.032,279.43,,False
3244,3254,3247,0.1833,1061.0,30.0,0.464,4823.407,350.13,,False
3271,3279,3274,0.15,1223.12,37.5,0.518,7255.209,561.48,,False
3297,3305,3301,0.15,1071.64,50.0,1.258,4000.533,303.07,,False
3323,3341,3326,0.3167,1747.6,16.7,0.333,7673.713,282.14,,False
3357,3361,3360,0.0833,367.43,75.0,2.792,2343.434,321.27,,False
3374,3387,3379,0.2333,1778.73,38.5,0.726,5623.909,329.46,,False
3413,3424,3417,0.2,2337.62,36.4,0.526,9404.538,365.57,,False
3440,3454,3444,0.25,1452.19,28.6,0.716,6613.777,302.54,,False
3470,3481,3474,0.2,2075.75,36.4,0.487,8882.743,553.26,,False
3502,3516,3505,0.25,1106.84,21.4,0.334,2512.318,290.88,,False
3534,3545,3538,0.2,1017.78,36.4,0.522,3776.217,289.23,,False
3559,3571,3563,0.2167,1629.98,33.3,0.647,5168.271,307.58,,False
3589,3595,3593,0.1167,1659.81,66.7,1.81,18810.789,946.26,,False
