frame,time_s,pan_dx,pan_dy,n_targets,ball_x,ball_y
0,0.0,0.0,0.0,7,640.0,360.0
1,0.016666666666666666,0.0,0.0,7,640.0,360.0
2,0.03333333333333333,0.0,0.0,7,640.0,360.0
3,0.05,0.0,0.0,7,640.0,360.0
4,0.06666666666666667,0.0,0.0,7,640.0,360.0
5,0.08333333333333333,0.0,0.0,7,640.0,360.0
6,0.1,-0.4302650754263482,0.8224637681159379,7,639.5697349245736,360.82246376811594
7,0.11666666666666667,-2.4485544217687334,3.177536231884062,7,637.1211805028049,364.0
8,0.13333333333333333,-7.0811594202898505,6.49941361177315,7,630.0400210825151,370.49941361177315
9,0.15,-13.324993372855204,10.516641091608903,6,616.7150277096598,381.01605470338205
10,0.16666666666666666,-20.53481978317643,15.038934976454414,6,596.1802079264834,396.05498967983647
11,0.18333333333333332,-25.36102941176466,18.434639764996916,6,570.8191785147187,414.4896294448334
12,0.2,-27.063664302600444,19.90290395410014,6,543.7555142121182,434.39253339893355
13,0.21666666666666667,-28.696502781777156,21.61486434725026,7,515.0590114303411,456.0073977461838
14,0.23333333333333334,-27.0,20.52777777777777,7,488.0590114303411,476.5351755239616
15,0.25,-22.70164070612674,15.490988814798925,8,465.3573707242144,492.0261643387605
16,0.26666666666666666,-16.59313725490199,10.47310853436403,9,448.7642334693124,502.49927287312454
17,0.2833333333333333,-13.013345403060697,6.988538107916611,8,435.7508880662517,509.48781098104115
18,0.3,-8.81576670128075,5.358451889527743,8,426.935121364971,514.8462628705689
19,0.31666666666666665,-4.529896782027919,3.623263605304203,8,422.4052245829431,518.4695264758732
20,0.3333333333333333,-1.2535101952767604,1.801803264118064,8,421.15171438766635,520.2713297399912
21,0.35,-0.16323286672496806,0.3706896411722198,8,420.9884815209414,520.6420193811634
22,0.36666666666666664,0.0,0.0,8,420.9884815209414,520.6420193811634
23,0.38333333333333336,0.0,-0.11988011988015046,8,420.9884815209414,520.5221392612833
24,0.4,-0.6786332242821231,-0.3664659166828983,8,420.30984829665925,520.1556733446005
25,0.4166666666666667,-0.7612873448845789,-0.3129034404576885,8,419.5485609517747,519.8427699041428
26,0.43333333333333335,-0.4310177981647314,-0.27043746228892473,8,419.11754315361,519.5723324418539
27,0.45,-0.1941409977479509,-0.10764305628666193,8,418.92340215586205,519.4646893855672
28,0.4666666666666667,0.0,0.0,8,418.92340215586205,519.4646893855672
29,0.48333333333333334,0.0,0.0,8,418.92340215586205,519.4646893855672
30,0.5,-0.3585314685314813,-0.18181015701142655,8,418.56487068733054,519.2828792285558
31,0.5166666666666667,-0.09470929770139946,-0.07482902871689134,8,418.47016138962914,519.2080501998389
32,0.5333333333333333,0.6030183727033886,0.23804105402732034,8,419.07317976233253,519.4460912538663
33,0.55,4.427903046210133,2.833302404241465,8,423.50108280854266,522.2793936581077
34,0.5666666666666667,10.256249110826559,6.79695687527547,8,433.7573319193692,529.0763505333831
35,0.5833333333333334,14.300696327811806,9.583924564364878,8,448.058028247181,538.660275097748
36,0.6,16.05052209382916,10.447665545912486,8,464.1085503410102,549.1079406436605
37,0.6166666666666667,16.530459030459014,9.711271925516144,6,480.63900937146923,558.8192125691767
38,0.6333333333333333,14.497042497042514,8.0,7,495.13605186851174,566.8192125691767
39,0.65,8.247063795607488,5.35395055850978,6,503.38311566411926,572.1731631276864
40,0.6666666666666666,2.2339585490512093,2.2892987816348693,6,505.61707421317044,574.4624619093213
41,0.6833333333333333,0.0,0.6769443177788048,6,505.61707421317044,575.1394062271002
42,0.7,0.0,0.0,6,505.61707421317044,575.1394062271002
43,0.7166666666666667,0.0,0.0,6,505.61707421317044,575.1394062271002
44,0.7333333333333333,0.05824372759857965,0.0,6,505.675317940769,575.1394062271002
45,0.75,0.0,-0.011656746031746934,6,505.675317940769,575.1277494810683
46,0.7666666666666667,0.10680696162974357,0.0,6,505.7821249023987,575.1277494810683
47,0.7833333333333333,0.0,0.059100595098954045,6,505.7821249023987,575.1868500761673
48,0.8,0.03051001821492605,0.058563888530272834,6,505.8126349206136,575.2454139646975
49,0.8166666666666667,0.0,0.025721500721488155,6,505.8126349206136,575.271135465419
50,0.8333333333333334,0.07302079334111511,0.0,6,505.88565571395475,575.271135465419
51,0.85,2.288025889967628,-0.634304207119726,7,508.1736816039224,574.6368312582993
52,0.8666666666666667,10.6428901657751,-1.4775132275132137,7,518.8165717696975,573.159318030786
53,0.8833333333333333,24.60928492722917,-2.8626623512652714,6,543.4258566969266,570.2966556795208
54,0.9,42.85488041370394,-4.153356945342239,6,586.2807371106305,566.1432987341785
55,0.9166666666666666,49.92068280303579,-2.4580802618077087,5,636.2014199136663,563.6852184723708
56,0.9333333333333333,55.35243011268034,-1.1277876001885545,6,691.5538500263467,562.5574308721823
57,0.95,36.45996625361707,-1.738510394228598,6,728.0138162799637,560.8189204779537
58,0.9666666666666667,25.82231865268261,-1.3502802355175731,6,753.8361349326464,559.4686402424361
59,0.9833333333333333,14.024999999999977,-0.6260479988103498,5,767.8611349326463,558.8425922436257
60,1.0,6.4583333333332575,-0.04556354916053351,5,774.3194682659796,558.7970286944652
61,1.0166666666666666,1.8205823293172898,0.07098393574290185,5,776.1400505952969,558.8680126302081
62,1.0333333333333334,0.03382943538872496,-0.035013099090747346,5,776.1738800306856,558.8329995311174
63,1.05,0.19443628171211458,0.0,5,776.3683163123977,558.8329995311174
