frame,time_s,chunk_id,error_px,is_miss,speed_t,accel_t,speed_c,accel_c,v_rel,a_rel,cross_x,cross_y,ball_x,ball_y,ball_w,ball_h,on_target
776,12.933,0,400.78048854703536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,960,540,655.0,280.0,10.0,10.0,0.0
777,12.95,0,400.78048854703536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,960,540,655.0,280.0,10.0,10.0,0.0
778,12.967,0,400.78048854703536,1.0,0.0,85.71428571426623,0.0,0.0,0.0,85.71428571426623,960,540,655.0,280.0,10.0,10.0,0.0
779,12.983,0,400.78048854703536,1.0,2.8571428571422075,42.85714285713311,0.0,0.0,2.8571428571422075,42.85714285713311,960,540,655.0,280.0,10.0,10.0,0.0
780,13.0,0,400.8529709362154,1.0,1.4285714285711038,557.1428571428328,0.0,0.0,1.4285714285711038,557.1428571428328,960,540,655.0,280.0,10.0,10.0,0.0
781,13.017,0,400.74425092386093,1.0,15.714285714285552,385.71428571430033,0.0,0.0,15.714285714285552,385.71428571430033,960,540,655.0,280.0,10.0,10.0,0.0
782,13.033,0,400.45443573775174,1.0,14.285714285714448,1032.136678182268,0.0,0.0,14.285714285714448,1032.136678182268,960,540,655.0,280.0,10.0,10.0,0.0
783,13.05,0,400.38200579808,1.0,18.789923482810906,516.068339091083,0.0,0.0,18.789923482810906,516.068339091083,960,540,656.0,280.0,10.0,10.0,0.0
784,13.067,0,400.8637075342952,1.0,3.194382824998973,3228.255357474335,0.0,0.0,3.194382824998973,3228.255357474335,960,540,656.0,280.0,10.0,10.0,0.0
785,13.083,0,400.48535463157293,1.0,88.85898022905154,6052.575771469927,0.0,0.0,88.85898022905154,6052.575771469927,960,540,655.0,280.0,10.0,10.0,0.0
786,13.1,0,398.77584221665336,1.0,198.8230676880702,12816.292246151741,0.0,0.0,198.8230676880702,12816.292246151741,960,540,656.0,280.0,10.0,10.0,0.0
787,13.117,0,395.2557798682706,1.0,516.0683390910904,22692.80655599391,0.0,0.0,516.0683390910904,22692.80655599391,960,540,665.0,279.0,10.0,10.0,0.0
788,13.133,0,386.90943000846966,1.0,947.806274875763,21019.801160247327,0.0,0.0,947.806274875763,21019.801160247327,960,540,673.0,279.0,10.0,10.0,0.0
789,13.15,0,376.7204223877322,1.0,1202.4575175999562,11152.495831216846,0.0,0.0,1202.4575175999562,11152.495831216846,960,540,687.0,277.0,10.0,10.0,0.0
791,13.183,0,366.96276541607654,1.0,1291.1140577826902,4658.829668226782,0.0,0.0,1291.1140577826902,4658.829668226782,960,540,720.0,266.0,10.0,10.0,0.0
792,13.2,0,359.51012903646944,1.0,1147.081478521624,14998.5917706309,0.0,0.0,1147.081478521624,14998.5917706309,960,540,734.0,260.0,10.0,10.0,0.0
793,13.217,0,355.6510717082918,1.0,815.8944009302895,16782.93594027896,0.0,0.0,815.8944009302895,16782.93594027896,960,540,749.0,254.0,10.0,10.0,0.0
794,13.233,0,354.95514391963894,1.0,612.555703422902,9404.091597571274,0.0,0.0,612.555703422902,9404.091597571274,960,540,758.0,248.0,10.0,10.0,0.0
795,13.25,0,355.1729322335578,1.0,534.1329040451244,5964.692030642517,0.0,0.0,534.1329040451244,5964.692030642517,960,540,765.0,243.0,10.0,10.0,0.0
796,13.267,0,356.78190331155025,1.0,452.66106615913714,5242.779290975159,0.0,0.0,452.66106615913714,5242.779290975159,960,540,773.0,236.0,10.0,10.0,0.0
797,13.283,0,358.9165258975386,1.0,403.43676640806706,4372.268826807989,0.0,0.0,403.43676640806706,4372.268826807989,960,540,776.0,232.0,10.0,10.0,0.0
798,13.3,0,361.9634601520724,1.0,364.82592997712663,3259.6794633955683,0.0,0.0,364.82592997712663,3259.6794633955683,960,540,780.0,226.0,10.0,10.0,0.0
799,13.317,0,365.504407162662,1.0,353.8822587545533,1706.2310774909859,0.0,0.0,353.8822587545533,1706.2310774909859,960,540,782.0,221.0,10.0,10.0,0.0
800,13.333,0,369.39863491074664,1.0,332.1082931324467,2315.872471903857,0.0,0.0,332.1082931324467,2315.872471903857,960,540,784.0,215.0,10.0,10.0,0.0
801,13.35,0,372.8992252600515,1.0,281.0621254586748,2984.6546308251736,0.0,0.0,281.0621254586748,2984.6546308251736,960,540,786.0,210.0,10.0,10.0,0.0
802,13.367,0,376.0180738165852,1.0,235.95658542215443,2721.681653024084,0.0,0.0,235.95658542215443,2721.681653024084,960,540,787.0,206.0,10.0,10.0,0.0
803,13.383,0,378.76079420793434,1.0,191.98745707329525,2297.15884855841,0.0,0.0,191.98745707329525,2297.15884855841,960,540,788.0,203.0,10.0,10.0,0.0
804,13.4,0,380.9219422363297,1.0,159.3865792112173,1655.9724931168018,0.0,0.0,159.3865792112173,1655.9724931168018,960,540,788.0,200.0,10.0,10.0,0.0
805,13.417,0,382.75106620988987,1.0,136.85982699425648,1571.753213219369,0.0,0.0,136.85982699425648,1571.753213219369,960,540,789.0,197.0,10.0,10.0,0.0
